Date|Name|Symbol |Gains|Respective Rank|
2022-11-01|Dangee Dums Limited|DANGEE|0.204176|1|
2022-11-01|Orissa Bengal Carrier Limited|OBCL|0.199874|2|
2022-11-01|Suryalakshmi Cotton Mills Limited|SURYALAXMI|0.178281|3|
2022-11-01|STL Global Limited|SGL|0.174118|4|
2022-11-01|Bang Overseas Limited|BANG|0.173196|5|
2022-11-01|Univastu India Limited|UNIVASTU|0.169591|6|
2022-11-01|Magnum Ventures Limited|MAGNUM|0.167213|7|
2022-11-01|Nila Infrastructures Limited|NILAINFRA|0.142857|8|
2022-11-01|Tips Films Limited|TIPSFILMS|0.134247|9|
2022-11-01|Creative Newtech Limited|CREATIVE|0.126185|10|
2022-11-01|Alkali Metals Limited|ALKALI|0.115055|11|
2022-11-01|Pokarna Limited|POKARNA|0.107545|12|
2022-11-01|Himatsingka Seide Limited|HIMATSEIDE|0.105094|13|
2022-11-01|Salona Cotspin Limited|SALONA|0.104906|14|
2022-11-01|AXISCADES Technologies Limited|AXISCADES|0.099385|15|
2022-11-01|Delhivery Limited|DELHIVERY|0.097391|16|
2022-11-01|Kaushalya Infrastructure Development Corporation Limited|KAUSHALYA|0.094118|17|
2022-11-01|Max Ventures and Industries Limited|MAXVIL|0.091551|18|
2022-11-01|Automotive Stampings and Assemblies Limited|ASAL|0.090533|19|
2022-11-01|Setubandhan Infrastructure Limited|SETUINFRA|0.088235|20|
2022-11-01|Aarti Surfactants Limited|AARTISURF|0.087195|21|
2022-11-01|Simbhaoli Sugars Limited|SIMBHALS|0.08399|22|
2022-11-01|Dynemic Products Limited|DYNPRO|0.079891|23|
2022-11-01|Megasoft Limited|MEGASOFT|0.076687|24|
2022-11-01|Silly Monks Entertainment Limited|SILLYMONKS|0.076389|25|
2022-11-02|T T Limited|TTL|0.21787|1|
2022-11-02|Tracxn Technologies Limited|TRACXN|0.205926|2|
2022-11-02|IFCI Limited|IFCI|0.189055|3|
2022-11-02|Eimco Elecon (India) Limited|EIMCOELECO|0.179301|4|
2022-11-02|Delta Manufacturing Limited|DELTAMAGNT|0.156685|5|
2022-11-02|Mazagon Dock Shipbuilders Limited|MAZDOCK|0.133959|6|
2022-11-02|Dc Infotech And Communication Limited|DCI|0.132055|7|
2022-11-02|Goldiam International Limited|GOLDIAM|0.122984|8|
2022-11-02|Vineet Laboratories Limited|VINEETLAB|0.111905|9|
2022-11-02|Prudent Corporate Advisory Services Limited|PRUDENT|0.109888|10|
2022-11-02|Lypsa Gems & Jewellery Limited|LYPSAGEMS|0.108333|11|
2022-11-02|AXISCADES Technologies Limited|AXISCADES|0.097308|12|
2022-11-02|Art Nirman Limited|ARTNIRMAN|0.096334|13|
2022-11-02|Ortin Laboratories Limited|ORTINLAB|0.093478|14|
2022-11-02|Cineline India Limited|CINELINE|0.093023|15|
2022-11-02|Electronics Mart India Limited|EMIL|0.08983|16|
2022-11-02|Hindustan Oil Exploration Company Limited|HINDOILEXP|0.087504|17|
2022-11-02|Sonam Clock Limited|SONAMCLOCK|0.084022|18|
2022-11-02|S. P. Apparels Limited|SPAL|0.08338|19|
2022-11-02|Siyaram Silk Mills Limited|SIYSIL|0.083154|20|
2022-11-02|JBF Industries Limited|JBFIND|0.081818|21|
2022-11-02|Garden Reach Shipbuilders & Engineers Limited|GRSE|0.080455|22|
2022-11-02|Jindal Poly Investment and Finance Company Limited|JPOLYINVST|0.078676|23|
2022-11-02|Agro Phos India Limited|AGROPHOS|0.074932|24|
2022-11-02|Nahar Capital and Financial Services Limited|NAHARCAP|0.071853|25|
2022-11-03|Mahalaxmi Rubtech Limited|MHLXMIRU|0.215281|1|
2022-11-03|Southern Petrochemicals Industries Corporation  Limited|SPIC|0.154649|2|
2022-11-03|Excel Realty N Infra Limited|EXCEL|0.142857|3|
2022-11-03|Weizmann Limited|WEIZMANIND|0.130316|4|
2022-11-03|Murudeshwar Ceramics Limited|MURUDCERA|0.125616|5|
2022-11-03|Indigo Paints Limited|INDIGOPNTS|0.123931|6|
2022-11-03|Medicamen Biotech Limited|MEDICAMEQ|0.119243|7|
2022-11-03|Geekay Wires Limited|GEEKAYWIRE|0.117606|8|
